,Chr,Dominance,MutationType
272,14,dominant,synonymous
273,4,dominant,synonymous
274,17,recessive,missense
275,22,dominant,silent
276,4,recessive,nonsense
277,10,recessive,synonymous
278,3,recessive,silent
279,4,dominant,missense
280,20,recessive,synonymous
281,18,dominant,synonymous
282,21,recessive,silent
283,13,dominant,missense
284,22,recessive,nonsense
285,8,dominant,nonsense
286,17,recessive,synonymous
287,4,recessive,missense
288,11,recessive,synonymous
289,19,dominant,synonymous
290,15,dominant,nonsense
291,7,recessive,missense
292,4,dominant,nonsense
293,1,dominant,nonsense
294,19,recessive,missense
295,6,dominant,frameshift
296,20,recessive,nonsense
297,4,recessive,synonymous
298,8,recessive,frameshift
299,5,recessive,missense
300,8,recessive,nonsense
301,22,recessive,synonymous
302,11,dominant,frameshift
303,4,recessive,silent
304,5,dominant,frameshift
305,12,dominant,silent
306,10,dominant,nonsense
307,5,recessive,nonsense
308,21,recessive,missense
309,22,recessive,frameshift
310,13,dominant,synonymous
311,12,dominant,synonymous
312,19,recessive,frameshift
313,8,dominant,frameshift
314,16,recessive,nonsense
315,4,dominant,frameshift
316,8,recessive,synonymous
317,18,recessive,frameshift
318,22,dominant,missense
319,12,dominant,nonsense
320,7,recessive,frameshift
321,17,recessive,silent
322,16,dominant,nonsense
323,9,dominant,missense
324,17,recessive,silent
325,21,dominant,frameshift
326,4,dominant,missense
327,21,recessive,synonymous
328,15,recessive,silent
329,9,dominant,missense
330,17,recessive,missense
331,3,recessive,nonsense
332,12,recessive,missense
333,19,dominant,nonsense
334,20,dominant,missense
335,18,dominant,silent
336,4,recessive,missense
337,5,dominant,silent
338,8,recessive,silent
339,18,dominant,synonymous
340,9,dominant,missense
341,16,recessive,silent
342,11,dominant,synonymous
343,21,dominant,frameshift
344,11,dominant,frameshift
345,9,dominant,missense
346,6,recessive,missense
347,16,recessive,nonsense
348,10,dominant,synonymous
349,15,dominant,frameshift
350,1,dominant,synonymous
351,14,recessive,silent
352,19,recessive,missense
353,1,dominant,nonsense
354,12,recessive,frameshift
355,18,dominant,missense
356,7,dominant,synonymous
357,16,recessive,missense
358,2,recessive,silent
359,10,recessive,frameshift
360,5,dominant,missense
361,18,dominant,nonsense
362,2,recessive,frameshift
363,8,recessive,synonymous
364,5,dominant,nonsense
365,21,dominant,synonymous
366,18,dominant,missense
367,10,dominant,missense
368,15,recessive,nonsense
369,7,dominant,frameshift
370,2,dominant,synonymous
371,16,dominant,synonymous
372,21,recessive,silent
373,18,recessive,frameshift
374,13,recessive,missense
375,12,dominant,silent
376,7,dominant,missense
377,11,dominant,frameshift
378,13,recessive,frameshift
379,18,recessive,frameshift
380,1,dominant,missense
381,8,dominant,frameshift
382,4,dominant,silent
383,11,dominant,silent
384,11,recessive,missense
385,14,recessive,frameshift
386,2,dominant,nonsense
387,11,dominant,nonsense
388,1,recessive,frameshift
389,8,recessive,silent
390,8,recessive,synonymous
391,2,dominant,nonsense
392,17,recessive,silent
393,4,recessive,nonsense
394,17,recessive,silent
395,3,dominant,nonsense
396,15,recessive,synonymous
397,4,recessive,frameshift
398,14,recessive,nonsense
399,18,recessive,silent
400,18,dominant,nonsense
401,8,dominant,silent
402,1,dominant,synonymous
403,12,dominant,missense
404,15,dominant,missense
405,1,recessive,missense
406,9,dominant,frameshift
407,5,dominant,frameshift
408,14,dominant,silent
409,4,recessive,frameshift
410,14,dominant,silent
411,6,dominant,synonymous
412,17,dominant,nonsense
413,3,recessive,nonsense
414,9,recessive,synonymous
415,17,recessive,frameshift
416,3,recessive,silent
417,18,recessive,silent
418,15,recessive,nonsense
419,21,recessive,synonymous
420,9,recessive,synonymous
421,7,recessive,nonsense
422,7,recessive,frameshift
423,8,recessive,synonymous
424,3,dominant,missense
425,2,recessive,frameshift
426,1,recessive,silent
427,5,recessive,missense
428,12,recessive,frameshift
429,12,recessive,missense
430,21,dominant,missense
431,15,dominant,synonymous
432,21,dominant,missense
433,19,dominant,silent
434,12,recessive,missense
435,12,recessive,frameshift
436,12,recessive,silent
437,19,recessive,nonsense
438,22,recessive,silent
439,10,dominant,synonymous
440,18,recessive,synonymous
441,8,dominant,synonymous
442,11,dominant,nonsense
443,15,recessive,frameshift
444,1,dominant,missense
445,18,dominant,silent
446,18,dominant,frameshift
447,17,recessive,silent
448,10,dominant,frameshift
449,20,dominant,synonymous
450,17,dominant,frameshift
451,1,dominant,frameshift
452,9,dominant,silent
453,3,recessive,synonymous
454,21,recessive,missense
455,16,recessive,synonymous
456,17,recessive,nonsense
457,9,recessive,silent
458,18,dominant,frameshift
459,14,dominant,frameshift
460,10,dominant,missense
461,21,dominant,silent
462,4,dominant,frameshift
463,2,dominant,nonsense
464,22,recessive,frameshift
465,2,dominant,nonsense
466,3,recessive,frameshift
467,15,dominant,frameshift
468,8,recessive,frameshift
469,3,recessive,missense
470,4,recessive,synonymous
471,10,dominant,nonsense
472,16,dominant,missense
473,18,recessive,synonymous
474,14,dominant,silent
475,9,recessive,silent
476,17,dominant,silent
477,9,recessive,missense
478,16,recessive,synonymous
479,3,dominant,nonsense
480,22,recessive,nonsense
481,7,dominant,nonsense
482,8,dominant,frameshift
483,11,dominant,silent
484,18,dominant,silent
485,5,recessive,frameshift
486,18,recessive,synonymous
487,18,recessive,missense
488,13,recessive,frameshift
489,2,dominant,frameshift
490,8,recessive,nonsense
491,20,dominant,frameshift
492,8,dominant,synonymous
493,11,recessive,synonymous
494,7,dominant,silent
495,5,recessive,frameshift
496,12,recessive,synonymous
497,10,recessive,frameshift
498,2,recessive,synonymous
499,16,recessive,synonymous
500,21,recessive,missense
501,6,dominant,nonsense
502,13,dominant,synonymous
503,22,recessive,synonymous
504,9,recessive,nonsense
505,4,recessive,frameshift
506,11,dominant,missense
507,9,recessive,nonsense
508,16,recessive,frameshift
509,10,recessive,missense
510,9,recessive,missense
511,14,recessive,synonymous
512,13,recessive,nonsense
513,4,dominant,synonymous
514,10,dominant,missense
515,4,dominant,silent
516,7,dominant,frameshift
517,2,dominant,synonymous
518,15,dominant,silent
519,2,dominant,silent
520,9,dominant,frameshift
521,20,dominant,frameshift
522,18,recessive,nonsense
523,12,recessive,nonsense
524,7,dominant,frameshift
525,3,recessive,frameshift
526,5,recessive,silent
527,16,dominant,missense
528,3,recessive,nonsense
529,14,recessive,synonymous
530,22,recessive,synonymous
531,20,recessive,silent
532,7,recessive,synonymous
533,21,recessive,missense
534,5,recessive,frameshift
535,10,dominant,synonymous
536,9,recessive,missense
537,1,dominant,missense
538,11,dominant,nonsense
539,9,dominant,nonsense
540,15,recessive,synonymous
541,14,dominant,nonsense
542,10,recessive,frameshift
543,3,recessive,frameshift
544,12,dominant,frameshift
545,13,recessive,silent
546,19,dominant,silent
547,15,recessive,frameshift
548,7,recessive,missense
549,20,dominant,silent
550,20,dominant,synonymous
551,7,recessive,nonsense
552,1,dominant,missense
553,18,dominant,synonymous
554,15,recessive,missense
555,7,dominant,silent
556,3,recessive,missense
557,5,recessive,silent
558,21,dominant,silent
559,19,recessive,silent
560,2,recessive,nonsense
561,14,recessive,missense
562,11,recessive,silent
563,10,recessive,synonymous
564,14,dominant,missense
565,3,dominant,frameshift
566,11,dominant,nonsense
567,6,dominant,synonymous
568,2,dominant,frameshift
569,15,dominant,nonsense
570,22,dominant,silent
571,11,recessive,synonymous
572,10,dominant,nonsense
573,14,recessive,nonsense
574,21,dominant,nonsense
575,1,recessive,frameshift
576,13,recessive,frameshift
577,11,dominant,missense
578,22,dominant,silent
579,15,recessive,silent
580,12,recessive,missense
581,5,recessive,nonsense
582,18,dominant,frameshift
583,18,dominant,missense
584,14,dominant,frameshift
585,8,recessive,frameshift
586,8,recessive,synonymous
587,2,dominant,frameshift
588,21,recessive,missense
589,2,dominant,silent
590,7,recessive,frameshift
591,6,recessive,silent
592,16,recessive,synonymous
593,8,dominant,nonsense
594,20,recessive,synonymous
595,17,recessive,frameshift
596,1,dominant,nonsense
597,6,dominant,nonsense
598,13,dominant,frameshift
599,15,recessive,silent
600,7,recessive,synonymous
601,14,recessive,missense
602,8,recessive,frameshift
603,22,dominant,synonymous
604,21,recessive,missense
605,10,dominant,frameshift
606,6,dominant,nonsense
607,22,recessive,synonymous
608,11,dominant,missense
609,17,recessive,frameshift
610,8,dominant,frameshift
611,12,dominant,frameshift
612,9,recessive,synonymous
613,7,dominant,nonsense
614,21,recessive,missense
615,4,dominant,missense
616,18,recessive,frameshift
617,16,dominant,missense
618,9,recessive,silent
619,22,dominant,frameshift
620,12,recessive,frameshift
621,10,dominant,silent
622,5,recessive,nonsense
623,9,recessive,nonsense
624,17,recessive,frameshift
625,9,recessive,frameshift
626,15,recessive,frameshift
627,15,recessive,frameshift
628,10,dominant,frameshift
629,21,recessive,missense
630,8,dominant,silent
631,12,dominant,synonymous
632,9,recessive,missense
633,9,recessive,frameshift
634,10,recessive,silent
635,11,recessive,synonymous
636,11,dominant,silent
637,16,recessive,synonymous
638,2,recessive,missense
639,11,recessive,missense
640,19,dominant,missense
641,15,recessive,frameshift
642,18,recessive,frameshift
643,17,recessive,missense
644,20,dominant,synonymous
645,20,dominant,silent
646,12,recessive,nonsense
647,2,dominant,synonymous
648,2,recessive,silent
649,2,recessive,synonymous
650,10,dominant,silent
651,3,dominant,silent
652,8,dominant,missense
653,20,recessive,nonsense
654,15,recessive,nonsense
655,17,dominant,nonsense
656,7,recessive,frameshift
657,7,dominant,nonsense
658,3,dominant,silent
659,13,recessive,frameshift
660,3,recessive,frameshift
661,20,recessive,frameshift
662,19,recessive,synonymous
663,5,recessive,frameshift
664,20,dominant,nonsense
665,11,recessive,nonsense
666,3,recessive,missense
667,14,dominant,silent
668,13,recessive,synonymous
669,14,recessive,missense
670,5,dominant,missense
671,2,dominant,synonymous
672,4,dominant,silent
673,7,dominant,frameshift
674,4,recessive,silent
675,8,recessive,missense
676,4,recessive,silent
677,4,dominant,missense
678,22,recessive,nonsense
679,16,recessive,nonsense
680,2,recessive,nonsense
681,19,dominant,nonsense
682,14,recessive,synonymous
683,20,recessive,missense
684,1,dominant,nonsense
685,2,dominant,nonsense
686,1,recessive,missense
687,19,recessive,synonymous
688,19,dominant,missense
689,6,dominant,missense
690,19,dominant,synonymous
691,5,dominant,frameshift
692,14,dominant,synonymous
693,16,recessive,nonsense
694,2,dominant,silent
695,6,recessive,silent
696,22,dominant,silent
697,8,recessive,nonsense
698,22,dominant,frameshift
699,17,dominant,synonymous
700,18,recessive,missense
701,3,dominant,silent
702,5,recessive,silent
703,10,recessive,nonsense
704,3,dominant,silent
705,5,dominant,frameshift
706,12,recessive,missense
707,18,recessive,nonsense
708,13,recessive,nonsense
709,9,dominant,missense
710,11,dominant,silent
711,20,dominant,nonsense
712,1,dominant,missense
713,6,recessive,nonsense
714,15,dominant,synonymous
715,16,recessive,synonymous
716,6,dominant,nonsense
717,2,dominant,missense
718,5,recessive,missense
719,21,dominant,nonsense
720,8,recessive,synonymous
721,13,dominant,synonymous
722,7,recessive,silent
723,21,dominant,nonsense
724,20,dominant,missense
725,17,recessive,nonsense
726,3,dominant,silent
727,22,recessive,frameshift
728,6,recessive,frameshift
729,9,dominant,silent
730,19,dominant,frameshift
731,11,dominant,frameshift
732,19,recessive,synonymous
733,5,recessive,silent
734,13,recessive,silent
735,6,dominant,missense
736,8,dominant,silent
737,9,recessive,missense
738,19,recessive,missense
739,8,recessive,silent
740,10,recessive,frameshift
741,12,recessive,nonsense
742,16,dominant,frameshift
743,13,recessive,silent
744,14,recessive,synonymous
745,16,recessive,frameshift
746,20,recessive,silent
747,22,recessive,synonymous
748,9,dominant,nonsense
749,7,dominant,missense
750,5,recessive,synonymous
751,19,dominant,synonymous
752,9,dominant,synonymous
753,17,dominant,nonsense
754,2,recessive,synonymous
755,8,dominant,frameshift
756,19,recessive,silent
757,13,dominant,frameshift
758,22,recessive,synonymous
759,5,recessive,frameshift
760,14,recessive,frameshift
761,3,recessive,synonymous
762,11,dominant,silent
763,13,recessive,silent
764,1,recessive,missense
765,10,dominant,missense
766,13,dominant,nonsense
767,6,dominant,synonymous
768,22,recessive,frameshift
769,16,recessive,missense
770,7,dominant,frameshift
771,6,recessive,silent
772,13,recessive,frameshift
773,7,recessive,silent
774,8,recessive,missense
775,1,dominant,frameshift
776,12,dominant,silent
777,12,recessive,missense
778,12,dominant,nonsense
779,5,dominant,nonsense
780,12,recessive,frameshift
781,8,dominant,nonsense
782,12,recessive,synonymous
783,14,recessive,missense
784,19,dominant,synonymous
785,19,dominant,silent
786,4,dominant,missense
787,11,recessive,frameshift
788,6,recessive,missense
789,4,dominant,synonymous
790,4,dominant,frameshift
791,11,recessive,synonymous
792,1,recessive,missense
793,2,dominant,missense
794,22,dominant,frameshift
795,3,dominant,synonymous
796,14,recessive,missense
797,14,dominant,nonsense
798,19,dominant,synonymous
799,4,recessive,silent
800,15,dominant,silent
801,11,recessive,silent
802,9,recessive,frameshift
803,5,recessive,synonymous
804,2,dominant,missense
805,18,dominant,nonsense
806,22,dominant,nonsense
807,8,recessive,missense
808,22,dominant,silent
809,10,recessive,frameshift
810,3,recessive,frameshift
811,8,recessive,synonymous
812,22,recessive,missense
813,14,dominant,synonymous
814,7,dominant,synonymous
815,9,dominant,missense
816,15,dominant,silent
817,2,recessive,synonymous
818,10,dominant,frameshift
819,13,recessive,missense
820,3,dominant,frameshift
821,4,recessive,missense
822,19,dominant,nonsense
823,5,recessive,synonymous
824,17,dominant,synonymous
825,11,recessive,frameshift
826,18,dominant,missense
827,8,dominant,frameshift
828,13,recessive,nonsense
829,6,dominant,missense
830,1,recessive,missense
831,2,dominant,synonymous
832,22,dominant,synonymous
833,19,recessive,frameshift
834,22,recessive,frameshift
835,8,dominant,silent
836,6,dominant,silent
837,19,recessive,missense
838,2,recessive,nonsense
839,19,dominant,missense
840,9,dominant,missense
841,12,recessive,frameshift
842,14,dominant,silent
843,17,recessive,synonymous
844,9,recessive,missense
845,9,dominant,missense
846,9,dominant,nonsense
847,9,recessive,synonymous
848,4,recessive,synonymous
849,20,recessive,frameshift
850,1,recessive,silent
851,22,recessive,frameshift
852,3,dominant,silent
853,18,recessive,nonsense
854,11,recessive,missense
855,14,dominant,silent
856,19,dominant,missense
857,22,dominant,frameshift
858,13,dominant,nonsense
859,17,dominant,silent
860,17,dominant,silent
861,19,dominant,silent
862,18,dominant,missense
863,11,dominant,frameshift
864,19,dominant,synonymous
865,19,recessive,synonymous
866,22,dominant,synonymous
867,13,recessive,frameshift
868,3,dominant,synonymous
869,6,dominant,nonsense
870,18,dominant,synonymous
871,21,dominant,silent
872,12,recessive,synonymous
873,18,dominant,nonsense
874,12,recessive,missense
875,7,recessive,nonsense
876,4,recessive,silent
877,16,dominant,missense
878,1,dominant,silent
879,5,dominant,frameshift
880,3,dominant,synonymous
881,17,recessive,silent
882,4,dominant,missense
883,9,recessive,synonymous
884,6,dominant,nonsense
885,6,dominant,nonsense
886,8,recessive,frameshift
887,19,recessive,frameshift
888,4,dominant,nonsense
889,9,dominant,missense
890,19,dominant,nonsense
891,5,recessive,missense
892,6,dominant,synonymous
893,20,dominant,frameshift
894,20,recessive,nonsense
895,13,recessive,nonsense
896,1,dominant,nonsense
897,13,recessive,frameshift
898,19,recessive,frameshift
899,3,recessive,missense
900,2,dominant,missense
901,6,recessive,missense
902,9,dominant,missense
903,11,dominant,silent
904,12,recessive,synonymous
905,9,dominant,silent
906,4,dominant,synonymous
907,12,recessive,frameshift
908,5,dominant,synonymous
909,18,recessive,synonymous
910,18,dominant,synonymous
911,19,recessive,synonymous
912,4,dominant,missense
913,1,dominant,nonsense
914,1,recessive,frameshift
915,9,recessive,silent
916,3,recessive,silent
917,5,recessive,silent
918,18,dominant,silent
919,22,dominant,silent
920,3,recessive,nonsense
921,16,dominant,silent
922,12,dominant,synonymous
923,18,dominant,nonsense
924,15,recessive,missense
925,18,recessive,synonymous
926,8,dominant,frameshift
927,15,recessive,nonsense
928,13,recessive,missense
929,8,recessive,frameshift
930,17,recessive,silent
931,21,dominant,nonsense
932,15,dominant,missense
933,12,dominant,synonymous
934,10,dominant,missense
935,12,recessive,synonymous
936,20,dominant,nonsense
937,2,dominant,silent
938,16,dominant,synonymous
939,5,recessive,synonymous
940,20,recessive,silent
941,11,recessive,missense
942,6,recessive,frameshift
943,14,recessive,synonymous
944,3,recessive,missense
945,3,dominant,silent
946,21,recessive,frameshift
947,20,dominant,synonymous
948,16,recessive,nonsense
949,9,recessive,frameshift
950,14,dominant,missense
951,7,recessive,missense
952,1,dominant,missense
953,1,dominant,synonymous
954,10,dominant,frameshift
955,6,dominant,nonsense
956,6,dominant,silent
957,13,recessive,synonymous
958,15,dominant,nonsense
959,6,dominant,frameshift
960,9,dominant,silent
961,18,recessive,nonsense
962,4,dominant,nonsense
963,16,dominant,missense
964,22,recessive,synonymous
965,16,recessive,frameshift
966,11,dominant,silent
967,7,dominant,nonsense
968,14,recessive,synonymous
969,19,recessive,nonsense
970,2,recessive,synonymous
971,17,dominant,synonymous
972,10,recessive,synonymous
973,15,recessive,frameshift
974,9,recessive,nonsense
975,1,dominant,frameshift
976,13,recessive,missense
977,6,recessive,silent
978,10,recessive,frameshift
979,18,dominant,frameshift
980,4,recessive,silent
981,12,recessive,synonymous
982,22,dominant,nonsense
983,1,recessive,missense
984,11,dominant,nonsense
985,3,recessive,silent
986,14,dominant,nonsense
987,22,recessive,frameshift
988,12,recessive,synonymous
989,9,recessive,missense
990,13,recessive,synonymous
991,16,dominant,frameshift
992,12,recessive,nonsense
993,1,dominant,synonymous
994,16,dominant,frameshift
995,3,recessive,nonsense
996,14,recessive,silent
997,2,recessive,synonymous
998,16,recessive,silent
999,18,dominant,frameshift
1000,12,recessive,missense
1001,20,recessive,nonsense
1002,21,dominant,silent
1003,9,recessive,synonymous
1004,13,recessive,frameshift
1005,7,recessive,nonsense
1006,15,dominant,missense
1007,4,dominant,missense
1008,19,dominant,nonsense
1009,16,recessive,nonsense
1010,12,dominant,silent
1011,5,recessive,synonymous
1012,17,recessive,missense
1013,1,recessive,frameshift
1014,12,dominant,nonsense
1015,19,dominant,nonsense
1016,8,recessive,silent
1017,11,dominant,nonsense
1018,5,recessive,nonsense
1019,7,recessive,nonsense
1020,18,dominant,silent
1021,21,recessive,synonymous
1022,4,recessive,frameshift
1023,15,dominant,missense
1024,20,recessive,nonsense
1025,16,dominant,synonymous
1026,14,recessive,silent
1027,14,dominant,synonymous
1028,18,recessive,missense
1029,19,dominant,missense
1030,22,dominant,synonymous
1031,13,dominant,missense
1032,12,recessive,synonymous
1033,15,recessive,silent
1034,21,recessive,frameshift
1035,21,recessive,nonsense
1036,4,dominant,silent
1037,3,dominant,nonsense
1038,16,recessive,nonsense
1039,20,recessive,missense
1040,16,recessive,synonymous
1041,22,dominant,nonsense
1042,3,recessive,frameshift
1043,10,recessive,frameshift
1044,12,recessive,frameshift
1045,12,recessive,synonymous
1046,15,dominant,nonsense
1047,14,dominant,frameshift
1048,6,dominant,synonymous
1049,5,dominant,silent
1050,17,dominant,silent
1051,15,recessive,silent
1052,1,dominant,silent
1053,8,dominant,synonymous
1054,17,dominant,silent
1055,13,dominant,frameshift
1056,3,dominant,frameshift
1057,1,dominant,missense
1058,19,dominant,synonymous
1059,15,recessive,missense
1060,1,dominant,silent
1061,10,recessive,missense
1062,18,recessive,synonymous
1063,6,dominant,frameshift
1064,21,dominant,missense
1065,3,recessive,frameshift
1066,8,recessive,missense
1067,19,dominant,frameshift
1068,20,dominant,synonymous
1069,13,dominant,nonsense
1070,15,dominant,synonymous
1071,11,recessive,nonsense
1072,15,dominant,frameshift
1073,14,recessive,nonsense
1074,1,dominant,frameshift
1075,2,dominant,frameshift
1076,14,recessive,silent
1077,13,dominant,silent
1078,3,dominant,missense
1079,11,dominant,missense
1080,1,dominant,frameshift
1081,8,recessive,missense
1082,17,dominant,nonsense
1083,16,recessive,frameshift
1084,8,recessive,missense
1085,13,dominant,synonymous
1086,15,recessive,silent
1087,15,dominant,missense
1088,5,dominant,synonymous
1089,3,dominant,missense
1090,9,dominant,frameshift
1091,11,recessive,nonsense
1092,6,recessive,silent
1093,10,recessive,silent
1094,10,recessive,synonymous
1095,8,recessive,silent
1096,6,recessive,missense
1097,4,recessive,missense
1098,12,dominant,silent
1099,10,recessive,frameshift
1100,2,recessive,nonsense
1101,22,dominant,frameshift
1102,21,recessive,frameshift
1103,9,dominant,nonsense
1104,7,dominant,silent
1105,14,recessive,frameshift
1106,9,dominant,silent
1107,4,recessive,missense
1108,21,recessive,nonsense
1109,12,dominant,frameshift
1110,2,dominant,nonsense
1111,21,dominant,synonymous
1112,2,recessive,synonymous
1113,19,dominant,silent
1114,5,dominant,silent
1115,18,recessive,missense
1116,8,dominant,synonymous
1117,20,recessive,synonymous
1118,5,dominant,synonymous
1119,1,recessive,frameshift
1120,9,recessive,missense
1121,9,recessive,synonymous
1122,16,recessive,nonsense
1123,19,dominant,synonymous
1124,20,recessive,missense
1125,17,dominant,nonsense
1126,9,dominant,nonsense
1127,19,dominant,missense
1128,4,dominant,synonymous
1129,7,dominant,synonymous
1130,22,recessive,missense
1131,9,recessive,nonsense
